Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Mia & Sebastian’s Theme","Justin Hurwitz","La La Land (Original Motion Picture Soundtrack)","lé anthemz","Playlist","USUG11600660","1Vk4yRsz0iBzDiZEoFMQyv"
"It’s Over / Engagement Party","Justin Hurwitz","La La Land (Original Motion Picture Score)","lé anthemz","Playlist","USUG11601211","3EdoVT18WTQNKkdfIn9nkl"
"Gold Coast Rhythm - Jack's Party","Justin Hurwitz","Babylon (Music from the Motion Picture)","lé anthemz","Playlist","USKLP2200920","11pCiK6CoUkOaER3WWCsze"
"Why Try to Change Me Now","Fiona Apple","The Best Is Yet to Come - The Songs of Cy Coleman","lé anthemz","Playlist","USSNN1010005","7fKA60i4JhkavVw7fQFOHS"
"Laila","Monita Tahalea","Dari Balik Jendela","lé anthemz","Playlist","FR10S2080066","1TaCiZNUlnrns9DPb2jfw4"
"Dear, U","tsai","Dear, U","lé anthemz","Playlist","QZHNA1900961","3CJZiBfY0splO3HcDln93a"
"Makna Nostalgia","Vira Talisa","Detik Waktu #2 : Perjalanan Karya Cipta Candra Darusman","lé anthemz","Playlist","AUBEC2162275","5UzwDbdDqEyU7pQc9kh1Bu"
"I say ""I love you"" again","Kim Dong Ryul","Homecoming","lé anthemz","Playlist","KRA341315222","1RgIl5HJ69J0ca3xWDysa7"
"Flowerpot (Bonus Track)","Alex","My Vintage Romance","lé anthemz","Playlist","KRA531025015","5dc5n7zyXgKcRczN69Dnd5"
"ビュッフェにて","Yumi Matsutoya","昨晩お会いしましょう","lé anthemz","Playlist","JPTO08110230","1QtBz3ZndmpQuu5Ta6lAZf"
"First Love","Hikaru Utada","First Love","lé anthemz","Playlist","JPTO09901670","39HrUxcvKF3jtLz7fUDWXc"
"Behind The Moon Shadow","Lamp","For Lovers","lé anthemz","Playlist","JPG100400508","77zsHdb523rUQnOYUSG3qb"
"Had A Summer Dream","Lamp","The Poetry Of August","lé anthemz","Playlist","JPS801092798","3OzlFWff43Hp7ME2OPE2zW"
"Lately","Stevie Wonder","Hotter Than July","lé anthemz","Playlist","USMO18084665","5rlgpm7n5f9mWc5LQU42bI"
"If","Bread","Manna","lé anthemz","Playlist","USEE10181208","40W8Mm9t3ZO1iNQlls35lL"
"Fake Plastic Trees","Radiohead","The Bends","lé anthemz","Playlist","GBAYE9400056","73CKjW3vsUXRpy3NnX4H7F"
"will the day come when I don't love you","coldnight","eternal moment","lé anthemz","Playlist","KRMIM2001654","4hNsaKInFsR25K6TW5dNSW"
"Breathing in April","Jeon Jin Hee","Breathing","lé anthemz","Playlist","KRMIM2100016","7LIUUo45k44w1Mdgs0oTrp"
"No Face","Haley Heynderickx","I Need to Start a Garden","lé anthemz","Playlist","QMFW91700129","0uLlFekr8nKMj960xHKPYx"
"Till Death","Japanese Breakfast","Soft Sounds from Another Planet","lé anthemz","Playlist","USJ5G1713310","3wJVQr9ZfLZfcj19aIfjub"
"Sweet Memories","Olivia Ong","A Girl Meets Bossanova 2","lé anthemz","Playlist","SGA500911536","3g7MKGNn8oCMahPtptEE0q"
"another night awake with you on my mind.","eleventwelfth","another night awake with you on my mind.","lé anthemz","Playlist","QZDA72389771","5bUZe4fhyC8VQVH8Erq4yv"
"April","Mondo Gascaro","April","lé anthemz","Playlist","FR2X41827359","7zz2EAAis1zHGVBvtLJ8ZT"
"Jatuh Cinta","Tohpati","Bias","lé anthemz","Playlist","FR10S1833912","7Eg1r1sBcK9T57tf3RWYID"
"If We Make It Through December","Phoebe Bridgers","If We Make It Through December","lé anthemz","Playlist","USJ5G2025201","2vnVkHPckitpXFyC2Q2ULG"
"GOOD NIGHT - Piano Trio","Lee Jin Ah","The Lovebirds: Year 1 X ANTENNA (Original Television Soundtrack)","lé anthemz","Playlist","KRA491601009","3SIY15ufAu6pegSR145TVt"
"Mine","Gamaband","Lawalata","lé anthemz","Playlist","ushm81951309","5z6tU9B6T5Txg8CH1Igzim"
"Hujan Bulan Juni","Ari Malibu","AriReda: Becoming Dew","lé anthemz","Playlist","IDA232000144","5zNis0AZdG7mdesLokkx2t"
"Don't Know Why","Norah Jones","Come Away With Me (Super Deluxe Edition)","lé anthemz","Playlist","USBN20100529","1zNXF2svmdlNxfS5XeNUgr"
"Hoshi","Soichi Noriki","Haru Original Soundtrack","lé anthemz","Playlist","JPB531400136","37D4GJPuL735WIWMAUEQJq"
"Rose’s Theme","Toshihiko Sahashi","Haru Original Soundtrack","lé anthemz","Playlist","JPB531400134","6hYn7hjImGVVQzLbbCVm5j"
"Overture","Soichi Noriki","Haru Original Soundtrack","lé anthemz","Playlist","JPB531400133","6zpJGtztNYPEJrJaaNNwqE"
"Questions For The Universe","Laufey","Everything I Know About Love","lé anthemz","Playlist","GBKPL2215408","7kle3wveNJelYdI1khvHDb"
"you stand before the sunset","haruka nakamura","Still Life II","lé anthemz","Playlist","JPB672004015","6fiNCwXMTeErr4t6Thm8OM"
"SO, I LOVE YOU","Kingo Hamada","midnight cruisin'","lé anthemz","Playlist","JPAM08200030","29kiZTVfLAEsAPphdL4qbb"
"Come Away With Me","Norah Jones","Come Away With Me (Super Deluxe Edition)","lé anthemz","Playlist","USBN20100889","6jGnykaS6TkWp15utXSAeI"
"By Your Side","Sade","Lovers Rock","lé anthemz","Playlist","GBBBM0002171","7H3ojI1BsVy0dEJENqMt1k"
"November 13th, 2021","Zmi","Piano Diary","lé anthemz","Playlist","JPB642200001","4RsceBXWqJWDvRLimKm7jw"
"あの時の記憶","yuma yamaguchi","映画「おじいちゃん、死んじゃったって。」　オリジナル・サウンドトラック","lé anthemz","Playlist","JPZ921713203","7ysIr9E2r8yvJ4C9Mz4A1O"
"Reminiscence","Ardhito Pramono","Roadtrip","lé anthemz","Playlist","FRX452498745","7K3UEFknFEw7RkrZonIZCM"
"Tea for Two","Aoi Teshima","Cheek to Cheek～I Love Cinemas～","lé anthemz","Playlist","JPVI01818641","0hZsgfG4lwBQv0Wb1WXwKv"